Event,Value,Timestamp
new_round,sociality=True@tutorial=True@practice=False,
dialogue_change,intro_1,
button_reposnse,A1@d_key=intro_1,
dialogue_change,intro_2,
button_reposnse,A1@d_key=intro_2,
dialogue_change,intro_3,
button_reposnse,A1@d_key=intro_3,
dialogue_change,intro_4,
button_reposnse,A1@d_key=intro_4,
dialogue_change,intro_5,
button_reposnse,A1@d_key=intro_5,0
dialogue_change,intro_6,0
button_reposnse,A1@d_key=intro_6,0
dialogue_change,intro_7,0
button_reposnse,A1@d_key=intro_7,0
dialogue_change,timer_1,0
button_reposnse,A1@d_key=timer_1,13
dialogue_change,camera,13
button_reposnse,A1@d_key=camera,23
dialogue_change,control_1,23
button_reposnse,A1@d_key=control_1,41
dialogue_change,control_2,41
button_reposnse,A1@d_key=control_2,56
dialogue_change,control_3,56
button_reposnse,A1@d_key=control_3,60
collision,'1',86
dialogue_change,collision_2,86
button_reposnse,A1@d_key=collision_2,86
paper,0,111
dialogue_change,paper,111
button_reposnse,A1@d_key=paper,128
collision,'1',149
dialogue_change,collision_1,149
button_reposnse,A1@d_key=collision_1,149
collision,'1',161
dialogue_change,collision_3,161
button_reposnse,A2@d_key=collision_3,161
collision,'1',184
dialogue_change,collision_3,184
button_reposnse,A1@d_key=collision_3,184
anomally,'2',200
dialogue_change,emergency,202
button_reposnse,A1@d_key=emergency,202
button_reposnse,A1@d_key=emergency,202
anomally,'2',202
paper,0,203
dialogue_change,paper,203
button_reposnse,A1@d_key=paper,228
anomally,'2',249
dialogue_change,emergency,250
button_reposnse,A1@d_key=emergency,250
button_reposnse,A1@d_key=emergency,250
anomally,'2',250
paper,0,251
dialogue_change,paper,251
wrong_entry,N/A,288
dialogue_change,code_check_1,319
button_reposnse,A1@d_key=code_check_1,319
dialogue_change,end_tutorial,319
button_reposnse,A1@d_key=end_tutorial,320
dialogue_change,end,320
new_round,sociality=True@tutorial=False@practice=False,
dialogue_change,start_experiment,
collision,'1',21
dialogue_change,collision_3,21
button_reposnse,A1@d_key=collision_3,21
collision,'1',23
dialogue_change,collision_1,23
button_reposnse,A1@d_key=collision_1,23
collision,'1',36
dialogue_change,collision_1,36
button_reposnse,A1@d_key=collision_1,36
collision,'1',41
dialogue_change,collision_1,41
button_reposnse,A1@d_key=collision_1,42
collision,'1',70
dialogue_change,collision_1,70
button_reposnse,A1@d_key=collision_1,70
collision,'1',86
dialogue_change,collision_2,86
button_reposnse,A1@d_key=collision_2,86
collision,'1',90
dialogue_change,collision_1,90
button_reposnse,A1@d_key=collision_1,91
collision,'1',95
dialogue_change,collision_2,95
button_reposnse,A2@d_key=collision_2,95
collision,'1',106
dialogue_change,collision_2,106
button_reposnse,A1@d_key=collision_2,106
collision,'1',118
dialogue_change,collision_1,118
button_reposnse,A1@d_key=collision_1,118
collision,'1',124
dialogue_change,collision_3,124
button_reposnse,A1@d_key=collision_3,124
collision,'1',131
dialogue_change,collision_3,131
button_reposnse,A1@d_key=collision_3,131
collision,'1',140
dialogue_change,collision_3,140
button_reposnse,A1@d_key=collision_3,140
collision,'1',161
dialogue_change,collision_2,161
button_reposnse,A1@d_key=collision_2,161
collision,'1',177
dialogue_change,collision_2,177
button_reposnse,A1@d_key=collision_2,178
collision,'1',191
dialogue_change,collision_1,191
button_reposnse,A1@d_key=collision_1,191
collision,'1',193
dialogue_change,collision_2,193
button_reposnse,A1@d_key=collision_2,193
collision,'1',197
dialogue_change,collision_1,197
button_reposnse,A1@d_key=collision_1,197
dialogue_change,code_check_2,245
button_reposnse,A1@d_key=code_check_2,245
dialogue_change,end_experiment,245
button_reposnse,A1@d_key=end_experiment,245
dialogue_change,end,245
new_round,sociality=False@tutorial=True@practice=False,
dialogue_change,intro_1,
button_reposnse,A1@d_key=intro_1,
dialogue_change,intro_2,
button_reposnse,A1@d_key=intro_2,
dialogue_change,intro_3,
button_reposnse,A1@d_key=intro_3,
dialogue_change,intro_4,
button_reposnse,A1@d_key=intro_4,0
dialogue_change,intro_5,0
button_reposnse,A1@d_key=intro_5,0
dialogue_change,intro_6,0
button_reposnse,A1@d_key=intro_6,0
dialogue_change,intro_7,0
button_reposnse,A1@d_key=intro_7,0
dialogue_change,timer_1,0
button_reposnse,A2@d_key=timer_1,9
dialogue_change,camera,9
button_reposnse,A1@d_key=camera,18
dialogue_change,control_1,18
collision,'1',30
dialogue_change,collision_2,30
button_reposnse,A2@d_key=collision_2,31
button_reposnse,A1@d_key=control_1,35
dialogue_change,control_2,35
button_reposnse,A1@d_key=control_2,50
dialogue_change,control_3,50
paper,0,54
dialogue_change,paper,54
button_reposnse,A1@d_key=paper,69
dialogue_change,code_check_1,97
button_reposnse,A1@d_key=code_check_1,97
dialogue_change,end_tutorial,97
button_reposnse,A1@d_key=end_tutorial,97
dialogue_change,end,97
new_round,sociality=False@tutorial=False@practice=False,
dialogue_change,start_experiment,
collision,'1',14
dialogue_change,collision_2,14
button_reposnse,A1@d_key=collision_2,15
collision,'1',17
dialogue_change,collision_2,17
button_reposnse,A1@d_key=collision_2,17
collision,'1',21
dialogue_change,collision_2,21
button_reposnse,A1@d_key=collision_2,22
collision,'1',37
dialogue_change,collision_2,37
button_reposnse,A1@d_key=collision_2,37
collision,'1',45
dialogue_change,collision_3,45
button_reposnse,A1@d_key=collision_3,45
collision,'1',48
dialogue_change,collision_3,48
button_reposnse,A2@d_key=collision_3,48
collision,'1',50
dialogue_change,collision_3,50
button_reposnse,A2@d_key=collision_3,50
collision,'1',58
dialogue_change,collision_1,58
button_reposnse,A1@d_key=collision_1,59
collision,'1',67
dialogue_change,collision_2,67
button_reposnse,A1@d_key=collision_2,67
collision,'1',88
dialogue_change,collision_1,88
button_reposnse,A1@d_key=collision_1,88
collision,'1',95
dialogue_change,collision_1,95
button_reposnse,A1@d_key=collision_1,95
collision,'1',102
dialogue_change,collision_1,102
button_reposnse,A1@d_key=collision_1,102
collision,'1',124
dialogue_change,collision_1,124
button_reposnse,A2@d_key=collision_1,124
collision,'1',144
dialogue_change,collision_1,144
button_reposnse,A1@d_key=collision_1,144
dialogue_change,code_check_2,186
button_reposnse,A1@d_key=code_check_2,186
dialogue_change,end_experiment,186
button_reposnse,A1@d_key=end_experiment,187
dialogue_change,end,187
new_round,sociality=False@tutorial=True@practice=False,
dialogue_change,intro_1,
button_reposnse,A1@d_key=intro_1,
dialogue_change,intro_2,
button_reposnse,A1@d_key=intro_2,
dialogue_change,intro_3,
button_reposnse,A1@d_key=intro_3,
dialogue_change,intro_4,
button_reposnse,A1@d_key=intro_4,
dialogue_change,intro_5,
button_reposnse,A1@d_key=intro_5,
dialogue_change,intro_6,
button_reposnse,A1@d_key=intro_6,
dialogue_change,intro_7,
button_reposnse,A1@d_key=intro_7,
dialogue_change,timer_1,
button_reposnse,A1@d_key=timer_1,11
dialogue_change,camera,11
button_reposnse,A1@d_key=camera,21
dialogue_change,control_1,21
button_reposnse,A1@d_key=control_1,38
dialogue_change,control_2,38
button_reposnse,A1@d_key=control_2,53
dialogue_change,control_3,53
button_reposnse,A1@d_key=control_3,58
collision,'1',85
dialogue_change,collision_3,85
button_reposnse,A1@d_key=collision_3,85
collision,'1',106
dialogue_change,collision_3,106
button_reposnse,A1@d_key=collision_3,106
paper,0,128
dialogue_change,paper,128
button_reposnse,A1@d_key=paper,144
anomally,'2',163
dialogue_change,emergency,165
button_reposnse,A1@d_key=emergency,165
anomally,'2',165
collision,'1',189
dialogue_change,collision_3,189
button_reposnse,A1@d_key=collision_3,189
anomally,'2',191
dialogue_change,emergency,193
button_reposnse,A1@d_key=emergency,193
button_reposnse,A1@d_key=emergency,193
anomally,'2',193
paper,0,193
dialogue_change,paper,193
button_reposnse,A2@d_key=paper,208
collision,'1',224
dialogue_change,collision_2,224
button_reposnse,A1@d_key=collision_2,224
collision,'1',239
dialogue_change,collision_3,239
button_reposnse,A1@d_key=collision_3,239
anomally,'2',247
dialogue_change,emergency,249
button_reposnse,A1@d_key=emergency,249
button_reposnse,A1@d_key=emergency,249
button_reposnse,A1@d_key=emergency,249
button_reposnse,A1@d_key=emergency,249
button_reposnse,A1@d_key=emergency,249
button_reposnse,A1@d_key=emergency,249
anomally,'2',249
paper,0,252
dialogue_change,paper,252
button_reposnse,A1@d_key=paper,267
wrong_entry,N/A,282
dialogue_change,code_check_1,311
button_reposnse,A1@d_key=code_check_1,311
dialogue_change,end_tutorial,311
button_reposnse,A1@d_key=end_tutorial,311
dialogue_change,end,311
