Event,Value,Timestamp
new_round,sociality=False@tutorial=True@practice=False,
dialogue_change,intro_1,
button_reposnse,A2@d_key=intro_1,
dialogue_change,intro_2,
button_reposnse,A2@d_key=intro_2,
dialogue_change,intro_3,
button_reposnse,A2@d_key=intro_3,
dialogue_change,intro_4,
button_reposnse,A2@d_key=intro_4,
dialogue_change,intro_5,
button_reposnse,A2@d_key=intro_5,
dialogue_change,intro_6,
button_reposnse,A2@d_key=intro_6,
dialogue_change,intro_7,
button_reposnse,A2@d_key=intro_7,
dialogue_change,timer_1,
button_reposnse,A2@d_key=timer_1,8
dialogue_change,camera,8
button_reposnse,A1@d_key=camera,17
dialogue_change,control_1,17
button_reposnse,A2@d_key=control_1,34
dialogue_change,control_2,34
button_reposnse,A2@d_key=control_2,45
collision,1,80
dialogue_change,collision_2,80
button_reposnse,A1@d_key=collision_2,80
anomally,2,85
dialogue_change,emergency,88
anomally,2,88
anomally,2,88
dialogue_change,emergency,88
button_reposnse,A1@d_key=emergency,88
new_round,sociality=False@tutorial=True@practice=True,
dialogue_change,start_experiment,
collision,1,23
dialogue_change,collision_1,23
button_reposnse,A1@d_key=collision_1,23
collision,1,56
dialogue_change,collision_1,56
button_reposnse,A1@d_key=collision_1,56
collision,1,96
dialogue_change,collision_3,96
button_reposnse,A1@d_key=collision_3,96
collision,1,108
dialogue_change,collision_2,108
button_reposnse,A1@d_key=collision_2,109
collision,1,117
dialogue_change,collision_3,117
button_reposnse,A1@d_key=collision_3,117
collision,1,129
dialogue_change,collision_2,129
button_reposnse,A1@d_key=collision_2,130
collision,1,131
dialogue_change,collision_3,131
button_reposnse,A1@d_key=collision_3,131
paper,0,148
dialogue_change,paper,148
button_reposnse,A2@d_key=paper,226
dialogue_change,code_check_1,229
button_reposnse,A1@d_key=code_check_1,229
dialogue_change,end_tutorial,229
button_reposnse,A1@d_key=end_tutorial,230
dialogue_change,end,230
new_round,sociality=False@tutorial=False@practice=False,
dialogue_change,start_experiment,
collision,1,15
dialogue_change,collision_3,15
button_reposnse,A2@d_key=collision_3,15
collision,1,30
dialogue_change,collision_3,30
